scientific_name,english_name,family,iucn
Psittacus timneh,Timneh Parrot,Psittacidae,EN
Psittacus erithacus,Grey Parrot,Psittacidae,EN
Poicephalus gulielmi,Red-fronted Parrot,Psittacidae,LC
Poicephalus flavifrons,Yellow-fronted Parrot,Psittacidae,LC
Poicephalus robustus,Cape Parrot,Psittacidae,VU
Poicephalus fuscicollis,Brown-necked Parrot,Psittacidae,LC
Poicephalus meyeri,Brown Parrot,Psittacidae,LC
Poicephalus rueppellii,Rüppell's Parrot,Psittacidae,LC
Poicephalus cryptoxanthus,Brown-headed Parrot,Psittacidae,LC
Poicephalus crassus,Niam-niam Parrot,Psittacidae,LC
Poicephalus senegalus,Senegal Parrot,Psittacidae,LC
Poicephalus rufiventris,Red-bellied Parrot,Psittacidae,LC
Touit batavicus,Lilac-tailed Parrotlet,Psittacidae,LC
Touit huetii,Scarlet-shouldered Parrotlet,Psittacidae,VU
Touit costaricensis,Red-fronted Parrotlet,Psittacidae,VU
Touit dilectissimus,Blue-fronted Parrotlet,Psittacidae,LC
Touit purpuratus,Sapphire-rumped Parrotlet,Psittacidae,LC
Touit melanonotus,Brown-backed Parrotlet,Psittacidae,VU
Touit surdus,Golden-tailed Parrotlet,Psittacidae,VU
Touit stictopterus,Spot-winged Parrotlet,Psittacidae,VU
Psilopsiagon aymara,Grey-hooded Parakeet,Psittacidae,LC
Psilopsiagon aurifrons,Mountain Parakeet,Psittacidae,LC
Bolborhynchus lineola,Barred Parakeet,Psittacidae,LC
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet,Psittacidae,VU
Bolborhynchus orbygnesius,Andean Parakeet,Psittacidae,LC
Nannopsittaca panychlora,Tepui Parrotlet,Psittacidae,LC
Nannopsittaca dachilleae,Amazonian Parrotlet,Psittacidae,NT
Myiopsitta luchsi,Cliff Parakeet,Psittacidae,LC
Myiopsitta monachus,Monk Parakeet,Psittacidae,LC
Brotogeris sanctithomae,Tui Parakeet,Psittacidae,LC
Brotogeris tirica,Plain Parakeet,Psittacidae,LC
