"","ref_id","iso2","reviewed_by","reviewed_date","country_role"
"1","ISI000411163100030","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"2","ISI000402042700016","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"3","ISI000369311600003","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"4","ISI000336241200001","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"5","ISI000321695300008","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"6","ISI000313135800009","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"7","ISI000305115600001","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"8","ISI000529378800051","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"9","ISI000272416300001","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"10","ISI000186450800011","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"11","ISI000073343800008","AW","Rsaurio",2020-10-29 10:05:53,"In text"
"12","ISI000368602100002","AF","Rsaurio",2020-10-29 10:05:53,"In text"
"13","ISI000332959700038","AF","Rsaurio",2020-10-29 10:05:53,"In text"
"14","ISI000302668600002","AF","Rsaurio",2020-10-29 10:05:53,"In text"
"15","ISI000294180800002","AF","Rsaurio",2020-10-29 10:05:53,"In text"
"16","ISI000263859000011","AF","Rsaurio",2020-10-29 10:05:53,"In text"
"17","ISIA1994PN55300018","AO","Rsaurio",2020-10-29 10:05:54,"In text"
"18","ISI000299942900003","AO","Rsaurio",2020-10-29 10:05:54,"In text"
"19","ISI000262240100004","AO","Rsaurio",2020-10-29 10:05:54,"In text"
"20","ISI000173450900005","AO","Rsaurio",2020-10-29 10:05:54,"In text"
"21","ISIA1995QM57600007","AI","Rsaurio",2020-10-29 10:05:54,"In text"
"22","ISI000279576700011","AI","Rsaurio",2020-10-29 10:05:54,"In text"
"23","ISI000178028800007","AI","Rsaurio",2020-10-29 10:05:54,"In text"
"24","ISI000295451900006","AL","Rsaurio",2020-10-29 10:05:55,"In text"
"25","ISI000403791000018","AE","Rsaurio",2020-10-29 10:05:56,"In text"
"26","ISI000381320100015","AE","Rsaurio",2020-10-29 10:05:56,"In text"
"27","ISI000340594800011","AE","Rsaurio",2020-10-29 10:05:56,"In text"
"28","ISI000313391600002","AE","Rsaurio",2020-10-29 10:05:56,"In text"
"29","ISI000075355600005","AE","Rsaurio",2020-10-29 10:05:56,"In text"
"30","ISI000486211000015","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"31","ISI000483464400003","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"32","ISI000470119800005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"33","ISIA1995RE91700005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"34","ISIA1992JQ02900003","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"35","ISIA1983RQ16700012","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"36","ISIA1982QB73800045","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"37","ISIA1978GK48900006","AR","Rsaurio",2020-10-29 10:05:56,"In text"
