"","ref_id","topics","general_application","specific_issue","paradigm_type"
"1","ISI000298076300024","Conservation","Assessment of distribution",NA,"NM"
"2","ISI000349378800002","Invasion ecology","Predictions of invasion risk","Establishment of non-native specie","NM"
"3","ISI000324930600021","Ecology","Relation with environmental variables","Variables affecting distribution","OM"
"4","ISI000247322000010","Evolution","Biogeographic patterns","Change in historical distribution","NM"
"5","ISI000364228500003","Ecology","Relation with environmental variables","Identifying breeding habitat","NM"
"6","ISI000307128800003","Biodiversity","Ecological communities","Richness and alpha-diversity","OM"
"7","ISI000482449400006","Ecology","Relation with environmental variables","Determining areas for survey","RSF"
"8","ISI000452732100007","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"9","ISI000263128000003","Invasion ecology","Predictions of invasion risk","Potential range of invasive species","NM"
"10","ISI000409319400006","Ecology","Relation with environmental variables","Identifying breeding habitat","NM"
"11","ISI000241621800003","Invasion ecology","Predictions of invasion risk","Potential range of invasive species","NM"
"12","ISI000339831300013","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"13","ISI000453889700008","Ecology","Macroecology","Abundance-occupancy relationship","NM"
"14","ISI000253983000009","Ecology","Relation with environmental variables","Identifying breeding habitat","RSF"
"15","ISI000375474800010","Invasion ecology","Predictions of invasion risk","Establishment of non-native specie","NM"
"16","ISI000244179000012","Ecology","Relation with environmental variables","Interannual variability in distribution","NM"
"17","ISI000381431100006","Conservation","Climate change","Change in distribution driven by climate change","NM"
"18","ISI000185866900005","Biodiversity","Ecological communities","Richness and alpha-diversity","other"
"19","ISI000259301200004","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"20","ISI000376798800021","Conservation","Climate change","Combined effects of climate and habitat changes","NM"
"21","ISI000273100500002","Conservation","Threats monitoring","Change in distribution driven by habitat loss","NM"
"22","ISI000470781300001","Invasion ecology","Predictions of invasion risk","Establishment of non-native specie","NM"
"23","ISI000299703400009","Conservation","Threats monitoring","Change in distribution driven by habitat loss","NM"
"24","ISI000477805900013","Conservation","Climate change","Change in distribution driven by climate change","NM"
"25","ISI000350353200001","Conservation","Climate change","Change in distribution driven by climate change","NM"
"26","ISI000328804300017","Conservation","Climate change","Evaluating or forecasting the effect of environmental changes","NM"
"27","ISI000417917800008","Conservation","Spatial prediction","Effect of conservation actions","NM"
"28","ISI000338623400001","Conservation","Spatial prediction","Resource distribution","NM"
"29","ISI000333011700003","Invasion ecology","Predictions of invasion risk","niche shift","NM"
"30","ISI000370066200022","Invasion ecology","Predictions of invasion risk","niche shift","NM"
"31","ISI000282115100011","Ecology","Relation with environmental variables","Interannual variability in distribution","RSF"
"32","ISI000418999900019","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"33","ISI000343865300008","Conservation","Threats monitoring","Threat distribution","NM"
"34","ISI000312089400007","Conservation","Spatial prediction","Identification of priority areas for conservation","NM"
"35","ISI000306477000005","Conservation","Threats monitoring","Input for population models / population viability analysis","NM"
"36","ISI000284038500028","Conservation","Threats monitoring","Change in distribution driven by habitat loss","NM"
"37","ISI000556843900031","Methodological issues","Improving estimation","Factors affecting distribution estimation","OM"
"38","ISI000426506100003","Conservation","Climate change","Change in distribution driven by climate change","OM"
"39","ISI000248965200012","Invasion ecology","Predictions of invasion risk","Limitations into invasion risk","RSF"
"40","ISI000256158100014","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"41","ISI000561132900001","Evolution","Biogeographic patterns","Change in historical distribution","NM"
"42","ISI000245693700008","Conservation","Climate change","Change in distribution driven by climate change","NM"
"43","AY0000000000000022","Conservation","Spatial prediction","Change in distribution driven by habitat loss","NM"
"44","ISI000399810100018","Invasion ecology","Predictions of invasion risk","Potential range of invasive species","NM"
"45","ISI000330907800009","Ecology","Macroecology","Effect of biotic interactions on distribution","NM"
"46","ISI000263245200003","Ecology","Macroecology","Global distribution patterns of diet type","NM"
"47","ISI000501192700003","Ecology","Relation with environmental variables","Variables affecting distribution","NM"
"48","ISI000343187200020","Ecology","Relation with environmental variables","Identifying breeding habitat","NM"
"49","ISI000232500900001","Ecology","Relation with environmental variables","Identifying potential habitat","NM"
"50","ISI000208195300005","Ecology","Relation with environmental variables","Identifying breeding habitat","RSF"
"51","ISI000349509400010","Conservation","Threats monitoring","Fragmentation effect","NM"
"52","ISI000434053500010","Conservation","Threats monitoring","Threat distribution","OM"
"53","ISI000383607200013","Methodological issues","Survey methodology biases","Evaluating citizen science data","NM"
"54","ISI000408449700003","Conservation","Threats monitoring","Change in distribution driven by habitat loss","OM"
"55","ISI000430667700002","Invasion ecology","Predictions of invasion risk","niche shift","NM"
"56","ISI000406323100041","Evolution","Biogeographic patterns","Understanding distribution of extincted species","NM"
"57","ISI000357622700011","Conservation","Threats monitoring","Fragmentation effect","OM"
"58","ISI000277168000006","Invasion ecology","Invasion effect","Impacts on native species","NM"
"59","ISI000393199400011","Conservation","Threats monitoring","Threat effect on distribution/occupancy","OM"
"60","ISI000374258900003","Conservation","Threats monitoring","Effect of conservation actions","RSF"
"61","ISI000407080100003","Conservation","Spatial prediction","Resource distribution","NM"
"62","ISI000235693400012","Ecology","Relation with environmental variables","Variables affecting distribution","RSF"
"63","ISI000413319000011","Invasion ecology","Invasion effect","Impacts on native species","other"
"64","ISI000208353800001","Conservation","Threats monitoring","Change in distribution driven by habitat loss","NM"
"65","ISI000448856300001","Invasion ecology","Predictions of invasion risk","Potential range of invasive species","NM"
"66","ISI000562466300006","Ecology","Relation with environmental variables","Determining areas for survey","OM"
"67","ISI000517406000001","Invasion ecology","Predictions of invasion risk","Potential range of invasive species","NM"
"68","ISI000501640800006","Conservation","Climate change","Change in distribution driven by climate change","NM"
