TaxonId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,scientific+AF8-name,RankName,CurrentListing,SynonymsWithAuthors,CitesAccepted,All+AF8-DistributionISOCodes,All+AF8-DistributionFullNames,NativeDistributionFullNames,Introduced+AF8-Distribution
1009,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,,,Agapornis,GENUS,II/NC,,true,,,,
10326,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,canus,,Agapornis canus,SPECIES,II,Psittacus canus Gmelin  1788,true,KM  MG  MU  YT  SC,Comoros  Madagascar  Mauritius  Mayotte  Seychelles,Madagascar,Comoros Mauritius Mayotte
9928,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,,Agapornis fischeri,SPECIES,II,,true,BI  KE  MZ  RW  TZ,Burundi  Kenya  Mozambique  Rwanda  United Republic of Tanzania,Burundi Mozambique Rwanda United Republic of Tanzania,Kenya
10797,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,lilianae,,Agapornis lilianae,SPECIES,II,,true,MW  MZ  TZ  ZM  ZW,Malawi  Mozambique  United Republic of Tanzania  Zambia  Zimbabwe,Malawi Mozambique United Republic of Tanzania Zambia Zimbabwe,
6513,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,nigrigenis,,Agapornis nigrigenis,SPECIES,II,Agapornis lilianae nigrigenis Shelley  1894,true,BW  NA  ZM  ZW,Botswana  Namibia  Zambia  Zimbabwe,Botswana Namibia Zambia Zimbabwe,
8415,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,personatus,,Agapornis personatus,SPECIES,II,,true,BI  KE  TZ,Burundi  Kenya  United Republic of Tanzania,United Republic of Tanzania,Burundi Kenya
7711,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,pullarius,,Agapornis pullarius,SPECIES,II,Psittacus pullarius Linnaeus  1758,true,AO  BJ  BI  CM  CF  TD  CG  CI  CD  GQ  ET  GA  GH  GN  KE  LR  ML  NE  NG  RW  ST  SL  SS  TG  UG  TZ,Angola  Benin  Burundi  Cameroon  Central African Republic  Chad  Congo  C+//0Aw//9ALQ-te d'Ivoire  Democratic Republic of the Congo  Equatorial Guinea  Ethiopia  Gabon  Ghana  Guinea  Kenya  Liberia  Mali  Niger  Nigeria  Rwanda  Sao Tome and Principe  Sierra Leone  South Sudan  Togo  Uganda  United Republic of Tanzania,Angola Benin Burundi Cameroon Central African Republic Chad Congo C+//0Aw//9ALQ-te d'Ivoire Democratic Republic of the Congo Equatorial Guinea Ethiopia Gabon Ghana Guinea Kenya Mali Niger Nigeria Rwanda Sao Tome and Principe Sierra Leone South Sudan Togo Uganda United Republic of Tanzania,Liberia
7767,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,,Agapornis roseicollis,SPECIES,NC,Psittacus roseicollis Vieillot  1818,true,AO  BW  NA  ZA,Angola  Botswana  Namibia  South Africa,Angola Botswana Namibia South Africa,
10529,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,swindernianus,,Agapornis swindernianus,SPECIES,II,Psittacus swindernianus Kuhl  1820,true,CM  CF  CG  CI  CD  GQ  GA  GH  LR  SL  UG,Cameroon  Central African Republic  Congo  C+//0Aw//9ALQ-te d'Ivoire  Democratic Republic of the Congo  Equatorial Guinea  Gabon  Ghana  Liberia  Sierra Leone  Uganda,Cameroon Central African Republic Congo C+//0Aw//9ALQ-te d'Ivoire Democratic Republic of the Congo Equatorial Guinea Gabon Ghana Liberia Sierra Leone Uganda,
4988,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,taranta,,Agapornis taranta,SPECIES,II,Psittacus taranta Stanley  1814,true,ER  ET,Eritrea  Ethiopia,Eritrea Ethiopia,
1356,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,,,Alisterus,GENUS,II,,true,,,,
3299,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,amboinensis,,Alisterus amboinensis,SPECIES,II,Psittacus amboinensis Linnaeus  1766,true,ID,Indonesia,Indonesia,
4896,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,chloropterus,,Alisterus chloropterus,SPECIES,II,Aprosmictus chloropterus Ramsay  1879,true,ID  PG,Indonesia  Papua New Guinea,Indonesia Papua New Guinea,
9969,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,scapularis,,Alisterus scapularis,SPECIES,II,Psittacus scapularis Lichtenstein  1818,true,AU,Australia,Australia,
2607,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,Amazona,GENUS,I/II,,true,,,,
7524,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,aestiva,,Amazona aestiva,SPECIES,II,Psittacus aestivus Linnaeus  1758,true,AR  BO  BR  PY  UY,Argentina  Bolivia (Plurinational State of)  Brazil  Paraguay  Uruguay,Argentina Bolivia (Plurinational State of) Brazil Paraguay Uruguay,
5204,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,agilis,,Amazona agilis,SPECIES,II,Psittacus agilis Linnaeus  1758,true,JM,Jamaica,Jamaica,
9077,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,albifrons,,Amazona albifrons,SPECIES,II,Psittacus albifrons Sparrman  1788,true,BZ  CR  SV  GT  HN  MX  NI,Belize  Costa Rica  El Salvador  Guatemala  Honduras  Mexico  Nicaragua,Belize Costa Rica El Salvador Guatemala Honduras Mexico Nicaragua,
4166,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,amazonica,,Amazona amazonica,SPECIES,II,Psittacus amazonicus Linnaeus  1766,true,BO  BR  CO  EC  GF  GY  AN  PE  PR  SR  TT  VE,Bolivia (Plurinational State of)  Brazil  Colombia  Ecuador  French Guiana +AFs-FR+AF0-  Guyana  Netherlands Antilles  Peru  Puerto Rico  Suriname  Trinidad and Tobago  Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of) Brazil Colombia Ecuador French Guiana +AFs-FR+AF0- Guyana Peru Suriname Trinidad and Tobago Venezuela (Bolivarian Republic of),Netherlands Antilles Puerto Rico
5156,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,arausiaca,,Amazona arausiaca,SPECIES,I,Psittacus arausiacus P. L. S. M+//0Aw//9ALw-ller  1766,true,DM,Dominica,Dominica,
3721,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,auropalliata,,Amazona auropalliata,SPECIES,I,Amazona ochrocephala auropalliata (Gmelin  1788)  Psittacus auropalliatus Lesson  1842,true,BZ  CR  SV  GT  HN  MX  NI,Belize  Costa Rica  El Salvador  Guatemala  Honduras  Mexico  Nicaragua,Belize Costa Rica El Salvador Guatemala Honduras Mexico Nicaragua,
5318,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,autumnalis,,Amazona autumnalis,SPECIES,II,Psittacus autumnalis Linnaeus  1758,true,BZ  BR  CO  CR  EC  GT  HN  MX  NI  PA  VE,Belize  Brazil  Colombia  Costa Rica  Ecuador  Guatemala  Honduras  Mexico  Nicaragua  Panama  Venezuela (Bolivarian Republic of),Belize Brazil Colombia Costa Rica Ecuador Guatemala Honduras Mexico Nicaragua Panama Venezuela (Bolivarian Republic of),
10032,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,barbadensis,,Amazona barbadensis,SPECIES,I,Psittacus barbadensis Gmelin  1788,true,AW  AN  VE,Aruba  Netherlands Antilles  Venezuela (Bolivarian Republic of),Aruba Netherlands Antilles Venezuela (Bolivarian Republic of),
8961,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,brasiliensis,,Amazona brasiliensis,SPECIES,I,Psittacus brasiliensis Linnaeus  1758,true,BR  UY,Brazil  Uruguay,Brazil Uruguay,
5816,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,collaria,,Amazona collaria,SPECIES,II,Psittacus collarius Linnaeus  1758,true,JM,Jamaica,Jamaica,
5571,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,dufresniana,,Amazona dufresniana,SPECIES,II,Psittacus dufresnianus Shaw  1812,true,BR  GF  GY  SR  VE,Brazil  French Guiana +AFs-FR+AF0-  Guyana  Suriname  Venezuela (Bolivarian Republic of),French Guiana +AFs-FR+AF0- Guyana Suriname Venezuela (Bolivarian Republic of),
10655,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,farinosa,,Amazona farinosa,SPECIES,II,Psittacus farinosus Boddaert  1783,true,BZ  BO  BR  CO  CR  EC  GF  GT  GY  HN  MX  NI  PA  PE  SR  VE,Belize  Bolivia (Plurinational State of)  Brazil  Colombia  Costa Rica  Ecuador  French Guiana +AFs-FR+AF0-  Guatemala  Guyana  Honduras  Mexico  Nicaragua  Panama  Peru  Suriname  Venezuela (Bolivarian Republic of),Belize Bolivia (Plurinational State of) Brazil Colombia Costa Rica Ecuador French Guiana +AFs-FR+AF0- Guatemala Guyana Honduras Mexico Nicaragua Panama Peru Suriname Venezuela (Bolivarian Republic of),
8116,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,festiva,,Amazona festiva,SPECIES,II,Psittacus festivus Linnaeus  1758,true,BR  CO  EC  GY  PE  VE,Brazil  Colombia  Ecuador  Guyana  Peru  Venezuela (Bolivarian Republic of),Brazil Colombia Ecuador Guyana Peru Venezuela (Bolivarian Republic of),
5511,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,finschi,,Amazona finschi,SPECIES,I,Chrysotis finschi Sclater  1864,true,MX,Mexico,Mexico,
9807,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,guildingii,,Amazona guildingii,SPECIES,I,Psittacus guildingii Vigors  1837,true,VC,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,
8804,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,imperialis,,Amazona imperialis,SPECIES,I,,true,DM,Dominica,Dominica,
10208,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,kawalli,,Amazona kawalli,SPECIES,II,,true,BR,Brazil,Brazil,
7836,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,leucocephala,,Amazona leucocephala,SPECIES,I,Psittacus leucocephalus Linnaeus  1758,true,BS  KY  CU,Bahamas  Cayman Islands (United Kingdom)  Cuba,Bahamas Cayman Islands (United Kingdom) Cuba,
3948,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,mercenaria,,Amazona mercenaria,SPECIES,II,Amazona mercenarius (Tschudi  1844)  Psittacus mercenarius Tschudi  1844,true,AR  BO  CO  EC  PE  VE,Argentina  Bolivia (Plurinational State of)  Colombia  Ecuador  Peru  Venezuela (Bolivarian Republic of),Argentina Bolivia (Plurinational State of) Colombia Ecuador Peru Venezuela (Bolivarian Republic of),
10835,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ochrocephala,,Amazona ochrocephala,SPECIES,II,Psittacus ochrocephalus Gmelin  1788,true,BZ  BO  BR  CO  CR  EC  GF  GT  GY  HN  MX  NI  PA  PE  SR  TT  VE,Belize  Bolivia (Plurinational State of)  Brazil  Colombia  Costa Rica  Ecuador  French Guiana +AFs-FR+AF0-  Guatemala  Guyana  Honduras  Mexico  Nicaragua  Panama  Peru  Suriname  Trinidad and Tobago  Venezuela (Bolivarian Republic of),Belize Bolivia (Plurinational State of) Brazil Colombia Costa Rica Ecuador French Guiana +AFs-FR+AF0- Guatemala Guyana Honduras Mexico Nicaragua Panama Peru Suriname Trinidad and Tobago Venezuela (Bolivarian Republic of),
11033,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,oratrix,,Amazona oratrix,SPECIES,I,Amazona ochrocephala oratrix (J. F. Gmelin  1788)  Amazona oratrix magna Ridgway  1887  Amazona ochrocephala magna (J. F. Gmelin  1788),true,BZ  GT  HN  MX  PR,Belize  Guatemala  Honduras  Mexico  Puerto Rico,Belize Guatemala Honduras Mexico,Puerto Rico
4520,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,pretrei,,Amazona pretrei,SPECIES,I,Psittacus pretrei Temminck  1830,true,AR  BR  PY  UY,Argentina  Brazil  Paraguay  Uruguay,Argentina Brazil Paraguay,
6713,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,rhodocorytha,,Amazona rhodocorytha,SPECIES,I,Chrysotis rhodocorytha Salvadori  1890  Amazona dufresniana rhodocorytha (Shaw  1812),true,BR,Brazil,Brazil,
7498,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,tucumana,,Amazona tucumana,SPECIES,I,Chrysotis tucumana Cabanis  1885  Amazona pretrei tucumana (Temminck  1830),true,AR  BO,Argentina  Bolivia (Plurinational State of),Argentina Bolivia (Plurinational State of),
5359,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ventralis,,Amazona ventralis,SPECIES,II,Psittacus ventralis P. L. S. M+//0Aw//9ALw-ller  1776,true,DO  HT  PR,Dominican Republic  Haiti  Puerto Rico,Dominican Republic Haiti,Puerto Rico
9547,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,versicolor,,Amazona versicolor,SPECIES,I,Psittacus versicolor P. L. S. M+//0Aw//9ALw-ller  1776,true,LC,Saint Lucia,Saint Lucia,
11137,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,vinacea,,Amazona vinacea,SPECIES,I,Psittacus vinaceus Kuhl  1820,true,AR  BR  PY,Argentina  Brazil  Paraguay,Argentina Brazil Paraguay,
6777,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,viridigenalis,,Amazona viridigenalis,SPECIES,I,Chrysotis viridigenalis Cassin  1853,true,MX  PR  US,Mexico  Puerto Rico  United States of America,Mexico,Puerto Rico United States of America
9524,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,vittata,,Amazona vittata,SPECIES,I,Psittacus vittatus Boddaert  1783,true,PR,Puerto Rico,Puerto Rico,
9861,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,xantholora,,Amazona xantholora,SPECIES,II,Chrysotis xantholora G. R. Gray  1859,true,BZ  HN  MX,Belize  Honduras  Mexico,Belize Mexico,
3256,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,xanthops,,Amazona xanthops,SPECIES,II,Psittacus xanthops Spix  1824  Alipiopsitta xanthops (von Spix  1824),true,BO  BR  PY,Bolivia (Plurinational State of)  Brazil  Paraguay,Bolivia (Plurinational State of) Brazil Paraguay,
1511,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,,,Anodorhynchus,GENUS,I/NC,,true,,,,
5002,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,glaucus,,Anodorhynchus glaucus,SPECIES,I,Macrocercus glaucus Vieillot  1816,true,AR  BR  PY  UY,Argentina  Brazil  Paraguay  Uruguay,Argentina Brazil,
8986,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,hyacinthinus,,Anodorhynchus hyacinthinus,SPECIES,I/NC,Psittacus hyacinthinus Latham  1790,true,BO  BR  PY,Bolivia (Plurinational State of)  Brazil  Paraguay,Bolivia (Plurinational State of) Brazil Paraguay,
5579,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,leari,,Anodorhynchus leari,SPECIES,I,,true,BR,Brazil,Brazil,
2005,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aprosmictus,,,Aprosmictus,GENUS,II,,true,,,,
4055,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aprosmictus,erythropterus,,Aprosmictus erythropterus,SPECIES,II,Psittacus erythropterus Gmelin  1788,true,AU  ID  PG,Australia  Indonesia  Papua New Guinea,Australia Indonesia Papua New Guinea,
6087,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aprosmictus,jonquillaceus,,Aprosmictus jonquillaceus,SPECIES,II,Psittacus jonquillaceus Vieillot  1818,true,ID  TL,Indonesia  Timor+AC0-Leste,Indonesia Timor+AC0-Leste,
1889,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,,,Ara,GENUS,I/II,,true,,,,
11207,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ambiguus,,Ara ambiguus,SPECIES,I,Ara ambigua (Bechstein  1811)  Psittacus ambiguus Bechstein  1811,true,CO  CR  EC  HN  NI  PA,Colombia  Costa Rica  Ecuador  Honduras  Nicaragua  Panama,Colombia Costa Rica Ecuador Honduras Nicaragua Panama,
3879,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ararauna,,Ara ararauna,SPECIES,II,Sittace caninde Wagler  1832  Psittacus ararauna Linnaeus  1758  Ara caninde Wagler  1832,true,BO  BR  CO  EC  GF  GY  PA  PY  PE  PR  SR  TT  VE,Bolivia (Plurinational State of)  Brazil  Colombia  Ecuador  French Guiana +AFs-FR+AF0-  Guyana  Panama  Paraguay  Peru  Puerto Rico  Suriname  Trinidad and Tobago  Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of) Brazil Colombia Ecuador French Guiana +AFs-FR+AF0- Guyana Panama Paraguay Peru Suriname Venezuela (Bolivarian Republic of),Puerto Rico
8383,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,chloropterus,,Ara chloropterus,SPECIES,II,Ara chloroptera Gray  1859,true,AR  BO  BR  CO  EC  GF  GY  PA  PY  PE  SR  VE,Argentina  Bolivia (Plurinational State of)  Brazil  Colombia  Ecuador  French Guiana +AFs-FR+AF0-  Guyana  Panama  Paraguay  Peru  Suriname  Venezuela (Bolivarian Republic of),Argentina Bolivia (Plurinational State of) Brazil Colombia Ecuador French Guiana +AFs-FR+AF0- Guyana Panama Paraguay Peru Suriname Venezuela (Bolivarian Republic of),
6768,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,glaucogularis,,Ara glaucogularis,SPECIES,I,,true,BO,Bolivia (Plurinational State of),Bolivia (Plurinational State of),
