"","year","ref_id","reviewed_by","status"
"1",2019,"ISI000483947700012",NA,NA
"2",2019,"ISI000465233500003","Rsaurio","rejected off topic"
"3",2020,"ISI000493545600001","Rsaurio","rejected off topic"
"4",2019,"ISI000497390500001",NA,NA
"5",1995,"ISIA1995QU92400008",NA,NA
"6",2019,"ISI000493048400077","Rsaurio","rejected off topic"
"7",2019,"ISI000508629600001",NA,NA
"8",2020,"ISI000492379100001",NA,NA
"9",2019,"ISI000532631800045",NA,NA
"10",2019,"ISI000521168400010",NA,NA
"11",2020,"ISI000491998500001",NA,NA
"12",2019,"ISI000492859100007",NA,NA
"13",2019,"ISI000492141900011",NA,NA
"14",2020,"ISI000490907800001",NA,NA
"15",2019,"ISI000505627800002","Rsaurio","included in review"
"16",2019,"ISI000505627800001","Rsaurio","rejected off topic"
"17",2019,"ISI000497496000001",NA,NA
"18",2019,"ISI000497382900001",NA,NA
"19",2019,"ISI000460620900143",NA,NA
"20",2019,"ISI000488632500001",NA,NA
"21",2020,"ISI000488539100001",NA,NA
"22",2019,"ISI000500960300001",NA,NA
"23",1983,"ISIA1983QF35100021",NA,NA
"24",2019,"ISI000509759200003",NA,NA
"25",2019,"ISI000498268600053",NA,NA
"26",2019,"ISI000498270000013",NA,NA
"27",2019,"ISI000497251000015",NA,NA
"28",2019,"ISI000491213800006",NA,NA
"29",1983,"ISIA1983PS92600043",NA,NA
"30",2019,"ISI000489933500010",NA,NA
"31",2019,"ISI000487572500040",NA,NA
"32",2019,"ISI000486211000015",NA,NA
"33",2019,"ISI000486263300009",NA,NA
"34",2019,"ISI000497957400005",NA,NA
"35",1983,"ISIA1983QK88500026",NA,NA
"36",NA,"ISI000488168300001",NA,NA
"37",2020,"ISI000487974900001",NA,NA
"38",2019,"ISI000490020600001",NA,NA
"39",2019,"ISI000487109400001",NA,NA
"40",2019,"ISI000460620903122",NA,NA
"41",2019,"ISI000486417800005",NA,NA
"42",2019,"ISI000485672100009","Rsaurio","rejected off topic (not related to taxon)"
"43",2020,"ISI000485427700001",NA,NA
"44",2019,"ISI000485006000001",NA,NA
