assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
93032251,22684488,Chalcopsitta atra,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but the species is described as locally common (del Hoyo et al. 1997).",Stable,,,Terrestrial|Freshwater (=Inland waters),,Oceanian,,false,false,Global
93032610,22684494,Chalcopsitta scintillata,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but the species is described as common (del Hoyo et al. 1997).",Stable,,,Terrestrial|Freshwater (=Inland waters),,Oceanian,,false,false,Global
93032796,22684499,Chalcopsitta cardinalis,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but the species is described as abundnat (del Hoyo et al. 1997).",Stable,,,Terrestrial,,Oceanian,,false,false,Global
93032979,22684502,Eos histrio,Endangered,"B1ab(i,ii,iii,iv,v)",2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very small range (being known from only a few locations) which is in decline owing to habitat loss. It has undergone a rapid population decline, largely as a result of trapping for trade, and this is projected to increase in the future. It therefore qualifies as Endangered. <p></p>","It inhabits forests, eating fruit and insects, but also visits agricultural areas to feed on coconut nectar and various cultivated fruits. Highest densities have been recorded in primary forest but the species does tolerate secondary forest too <strong></strong>(Riley 2003). The species nests in holes in tall trees, and the main breeding period appears to be May-June (although nesting has been suspected in several other months). Flocks regularly make short seasonal movements, and in some cases roost on offshore islands. <p></p>","Trade represents a significant and on-going threat to the species. It was widely trapped as early as the 19th century. In 1999, research suggested that as many as 1,000-2,000 birds were being taken from Karakelang each year, 80% (illegally) to the Philippines. This is compounded by the extensive loss of forest, perhaps the main factor underlying its disappearance from Sangihe. The reasons behind habitat loss are small-holder agricultural encroachment into primary forest and (illegal) commercial logging. Furthermore, in 2003 there were plans to develop a commercial banana plantation on Karakelang <strong></strong>(Riley 2003). The use of insecticides and the transmission of disease via escaped cage-birds to wild populations, have been identified as a further potential hazards. <p></p>","Karakelang, where the vast majority of the species's population is found, was estimated to hold 8,230-21,400 birds in 1999. The estimate of 8,200-21,400 individuals is used as a total here, roughly equating to 5,500-14,000 mature individuals.",Decreasing,"<em>Eos histrio</em> is now confined to the Talaud Islands (almost exclusively on Karakelang) off northern Sulawesi, <strong>Indonesia</strong> (BirdLife International 2001). Although it was previously abundant, the species has declined and the population on Karakelang was estimated at 8,230-21,400 birds in 1999 <strong></strong>(Riley 2003). The nominate subspecies, known from the Sangihe Islands, is probably now extinct.<p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix I, and a protected species in Indonesia. Although 350 km<sup>2</sup> of primary forest has some form of protected status on Karakelang, 250 km<sup>2<strong> </strong></sup>as a Wildlife Reserve, there is, at present, no management of these sites <strong></strong>(Riley 2003). Since 1995, the ""Action Sampiri"" project has been working for biodiversity conservation in Sangihe and Talaud, conducting fieldwork and conservation awareness programmes, and developing ideas for future land-use. Efforts have been made to promote local support of the species on Talaud, its last stronghold. It has been reported that poaching and trade of this species have decreased dramatically following active confiscation operations by forestry department rangers in 2005 (R. T. Prayudhi <span style=""font-style: italic;"">in litt</span>. 2008).&#160; The bird is part of the European Association of Zoos and Aquaria's European Endangered [species] Programme and Parrot Taxon Advisory Group (Wilkinson 2000) and is bred in captivity (Sweeney 1998).<br/><p></p><strong>Conservation Actions Proposed</strong><br/>Monitor population trends and trapping levels. Enforce legislation (including strict dock controls, and perhaps activities by the navy and marine police [R. T. Prayudhi <span style=""font-style: italic;"">in litt</span>. 2008]) to reduce trading to sustainable levels. Conduct further research, provide training and resources for reserve staff and produce a cross-community management plan. Continue conservation awareness programmes to highlight the plight of this species and increase local support for its conservation. Develop capacity to effectively protect current reserves and extend and develop existing captive breeding efforts.<br/><br/><br/><p></p>",Oceanian,,false,false,Global
93033311,22684506,Eos squamata,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,,Stable,,,Terrestrial,,Oceanian,,false,false,Global
93033923,22684519,Eos cyanogenia,Vulnerable,C2a(ii),2016,2016-10-01 00:00:00 UTC,3.1,English,"This parrot qualifies as Vulnerable because it has a small population that is undergoing a continuing decline owing to exploitation for the cagebird trade and loss of lowland forest. However there is very little recent data on this species, which may be declining more rapidly, or may be secure, on Supiori. <p></p>","It is a gregarious species which apparently feeds chiefly in inland forest, up to 460&#160;m (although becoming less common at altitudes above 200&#160;m on Supiori, at least), and roosts in coconut plantations and nearby coastal forest (Bishop 1982)<strong><sup></sup></strong>. It is common in ""flat forest"" on Supiori (Gibbs 1993)<strong><sup></sup></strong> and still relatively common in secondary forest on Biak (N. Bostock <em>in litt</em>. 1993)<strong><sup></sup></strong>, but is absent from low scrubby regrowth (K. D. Bishop <em>in litt.</em> 2000)<strong><sup></sup></strong>. <p></p>","Relatively large numbers have been trapped for the domestic and international trade (Nash 1990b, K. D. Bishop <em>in litt</em>. 1994)<strong><sup></sup></strong>, and this species is commonly observed as a pet on Biak (Bishop 1982)<strong><sup></sup></strong>. Large areas of forest on Biak have been destroyed or damaged by logging and subsistence farming, particularly the southern plains, and the remainder is under pressure (Bishop 1982, K. D. Bishop <em>in litt</em>. 1996, D. Holmes <em>in litt.</em> 2000)<strong><sup></sup></strong>. Furthermore, forest does not regenerate easily on areas of raised coralline limestone. Much of Supiori comprises virtually impenetrable, forested limestone mountains, which is likely to be safe from habitat degradation. <p></p>","The population is estimated to number 2,500-9,999 mature individuals based on an assessment of known records, descriptions of abundance and range size. This is consistent with recorded population density estimates for congeners or close relatives with a similar body size, and the fact that only a proportion of the estimated Extent of Occurrence is likely to be occupied. This estimate is equivalent to 3,750-14,999 individuals, rounded here to 3,500-15,000 individuals.",Decreasing,"<em>Eos cyanogenia</em> is endemic to the Geelvink Islands of Papua (formerly Irian Jaya), <strong>Indonesia</strong>, where it is known from the islands of Biak-Supiori, and the much smaller islands of Numfor, Manim and Mios Num (Mayr and Meyer de Schauensee 1939, Beehler <em>et al</em>. 1986)<strong></strong>. On Biak, it is fairly common in patchy forest, although it has sometimes been recorded in flocks of 40-60 (Gibbs 1993, Collar <em>et al</em>. 1994, B. Beehler and S. van Balen <em>in litt</em>. 2000, M. Van Beirs <em>in litt.</em> 2000). On Supiori, it is common, although less so at higher altitudes (Bishop 1982, Gibbs 1993)<strong></strong>. It is nomadic, making it difficult to assess its true numbers but, on Biak, it appears it declined notably between 1982 and 1995 (K. D. Bishop <em>in litt.</em> 2000)<strong></strong>. <p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. There are two protected areas on the islands, Biak-Utara (covering 110&#160;km<sup>2</sup>) and Pulau Supiori (covering 420&#160;km<sup>2</sup>) Nature Reserves (Sujatnika <em>et al</em>. 1995)<strong><sup></sup></strong>. It was common in Biak-Utara Reserve in 1997 (B. Beehler and S. van Balen <em>in litt</em>. 2000)<strong><sup></sup></strong>. <p></p><strong>Conservation Actions Proposed</strong><br/>Conduct surveys on all the Geelvink Islands to clarify its current distribution and population status. Research its ecology and movements to facilitate planning for its conservation. Investigate trade in the species and devise and implement appropriate controls. Estimate the rate of forest loss within its range. Control logging on Supiori and establish a captive breeding programme to support future reintroduction and supplementation efforts.<br/><p></p>",Oceanian,,false,false,Global
93034403,22684528,Pseudeos fuscata,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but the species is reported to be common and highly gregarious (del Hoyo et al. 1997).",Stable,,,Terrestrial,,Oceanian,,false,false,Global
93034664,22684531,Trichoglossus ornatus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend is not known, but the population is not believed to be decreasing sufficiently rapidly to approach the thresholds under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","This species does not require primary forest, preferring forest edge, secondary habitats, and open areas, including human-altered habitats (Juniper and Parr 1998, Forshaw 2006)","It is reportedly trapped in national parks such as Tangkoko and Lore Lindu, and individuals of this species are infrequently seen in bird markets (J. Gilardi <em>in litt</em>. 2010). It is apparently tolerant of, and maybe even prefers secondary forest and forest edge but is noticeably commoner in the extreme lowland forest then in the mountains and these lowland forests are most at threat of clearance (R. Hutchinson <em>in litt. </em>2012).","It has been described as common and locally very common (Juniper and Parr 1998, Forshaw 2006), with a total population of more than 50,000 individuals (Juniper and Parr 1998).",Decreasing,"<p>This species is endemic to <strong>Indonesia</strong>, where it is widespread on Sulawesi and surrounding offshore islands including Togian, Peleng, Banggai and Tukang Besi archipelago (Forshaw 2006). It is reported to no longer be common in northern and central parts of Sulawesi (per J. Gilardi <em>in litt. </em>2010), but still seems to be common in the Togian islands and in the lowland forest at Torout (Bogani Nani NP) and to a lesser extent at Tangkoko (F. Lambert <em>in litt. </em>2011, R. Hutchinson <em>in litt. </em>2012).</p>",,Terrestrial|Freshwater (=Inland waters),,Oceanian,,false,false,Global
93034860,22684548,Trichoglossus euteles,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,The population size of this species has not been quantified.,Stable,,,Terrestrial,,Oceanian,,false,false,Global
93035057,22684559,Trichoglossus johnstoniae,Near Threatened,B1b(iii),2016,2016-10-01 00:00:00 UTC,3.1,English,"This montane species is probably secure but it is localised and scarce over its small range, which is probably diminishing in extent owing to on-going logging and forest loss; however, its population is not considered to be severely fragmented or restricted to a few locations. It is therefore classified as Near Threatened. <p></p>","It inhabits montane forest above c.1,000 m, up to 1,700 m on Mount Malindang and to 2,500 m on Mount Apo (Juniper and Parr 1998). It prefers mossy forest, but also occurs at the forest edge and in degraded and logged areas. Birds in breeding condition have been collected between March and May (Juniper and Parr 1998).  <p></p>","Its preferred habitat is relatively unlikely to be affected by human activities in the medium term, but logging and trapping must remain a concern. As a species of montane areas, it is potentially threatened in the long term by the effects of projected climate change on the distribution and extent of its habitats. <br/><p></p>","The global population size has apparently not been formally quantified, but the species is described as very uncommon and there are thought to be fewer than 10,000 individuals. On this basis it is placed in the band 2,500-9,999 individuals, equating to 1,667-6,666 mature individuals, rounded here to 1,500-7,000 mature individuals.",Decreasing,"<em>Trichoglossus johnstoniae</em> is endemic to Mindanao, <strong>Philippines</strong>, where it occurs at Mt Kitanglad, near Lake Lanao, Mt Piapayungan, Mt Apo, Mt Matutum, Lake Parker, Luhan, New Dumangas, T'boli, South Cotabato, Lake Sebu and Mt Malindang (Collar <em>et al</em>. 1999). It was described as uncommon and local, and was formerly considered Vulnerable, but now appears to be moderately common and even locally numerous.  <p></p>",,Terrestrial,<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. <p></p><strong>Conservation Actions Proposed</strong><br/>Regularly monitor at certain sites throughout its range to determine population trends. Protect significant areas of primary montane forest on Mindanao.  <p></p>,Indomalayan,,false,false,Global
