"","ref_id","analysis_type","model_type","data_source","topics","country_list","species_list","reviewed_by","reviewed_date","general_application","specific_issue","paradigm","species_range"
"1","ISI000298076300024",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}",NA,NA,"JRFP",2021-05-14 04:06:45,"{""Assessment of distribution""}",NA,"{NM}","{Native}"
"2","ISI000348705800006","{""range of occurrence""}","{none}","{""field work""}","{""current occurrence""}",NA,NA,"Ada Sanchez",2021-03-24 03:21:38,NA,NA,NA,NA
"3","ISI000320752200002","{""range of occurrence""}","{none}","{literature}","{""establishment of non-native species""}",NA,NA,"Ada Sanchez",2021-03-24 03:25:21,NA,NA,NA,NA
"4","ISI000176685100003","{""reported localities""}","{none}","{""field work""}","{""establishment of non-native species""}","{UK}",NA,"Ada Sanchez",2021-05-12 04:27:10,NA,NA,NA,NA
"5","ISI000249935400012","{""range of occurrence""}","{none}","{""field work""}","{""current occurrence""}",NA,NA,"Ada Sanchez",2021-05-12 04:32:31,NA,NA,NA,NA
"6","ISI000232017000006","{""reported localities""}","{none}","{""field work""}","{""current occurrence""}",NA,NA,"Ada Sanchez",2021-05-12 04:34:12,NA,NA,NA,NA
"7","ISI000349378800002","{""range of occurrence""}","{""Bioclimatic enveloped""}","{literature,""field work""}","{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-09-17 05:00:06,"{""Predictions of invasion risk""}","{""Establishment of non-native specie""}","{NM}","{Non-native}"
"8","ISI000330618700015","{""hypothesis test"",""spatial prediction""}","{""Random Forest (RF)""}","{eBird}","{""establishment of non-native species""}",NA,NA,"Ada Sanchez",2021-05-13 00:53:00,NA,NA,NA,NA
"9","ISI000347141900020",NA,"{""Maximum Entropy (MaxEnt)""}",NA,NA,NA,NA,"Ada Sanchez",2021-05-13 08:28:06,NA,NA,NA,NA
"10","ISI000330162100016",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}","{""museum collections"",""field work""}","{Conservation,Ecology}",NA,NA,"JRFP",2021-05-14 10:27:57,"{""Assessment of distribution""}","{""potential distribution"",""assessment of threats""}","{NM}","{Native}"
"11","ISI000324930600021",NA,"{Distance}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-09-15 04:40:58,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{OM}","{Native}"
"12","ISI000353007200004",NA,"{""Multi-State Occupancy Model (MS-OM)""}","{""accoustic monitoring""}","{Ecology,Conservation}",NA,NA,"JRFP",2021-05-14 03:44:26,NA,NA,"{RSF,OM}","{Native}"
"13","ISI000336874100016","{""spatial prediction"",""measure of change""}","{""Single Season Occupancy Model (SS-OM)"",""Maximum likelihood distribution model (MaxLike)""}","{""museum collections"",literature,""field work""}","{Ecology}",NA,"{""Amazona mercenarius""}","JRFP",2021-05-14 03:45:51,NA,"{""change in distribution""}",NA,"{Native}"
"14","ISI000247322000010","{""spatial prediction"",""measure of change""}","{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}","{""museum collections""}","{evolution}",NA,NA,"JRFP",2021-05-14 09:56:15,"{""Biogeographic patterns""}","{""Change in historical distribution""}","{NM}","{Native}"
"15","ISI000364228500003",NA,"{""Ensemble model""}",NA,"{Ecology}",NA,NA,"ASM",2021-05-14 09:42:00,"{""Relation with environmental variables""}","{""Identifying breeding habitat""}","{NM}","{Native}"
"16","ISI000310846800006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-14 11:21:57,NA,NA,NA,NA
