"","ref_id","scientific_name","individuals","reviewed_by","reviewed_date"
"1","AY0000000000000042","Psittacus erithacus",NA,"Ada Sanchez",2020-10-28 22:34:12
"2","AY0000000000000042","Cacatua moluccensis",NA,"Ada Sanchez",2020-10-28 22:34:13
"3","AY0000000000000042","Eclectus roratus",NA,"Ada Sanchez",2020-10-28 22:34:13
"4","AY0000000000000030","Anodorhynchus hyacinthinus",NA,"Ada Sanchez",2020-10-28 22:34:13
"5","AY0000000000000030","Anodorhynchus leari",NA,"Ada Sanchez",2020-10-28 22:34:13
"6","AY0000000000000030","Ara ararauna",NA,"Ada Sanchez",2020-10-28 22:34:13
"7","AY0000000000000030","Ara macao",NA,"Ada Sanchez",2020-10-28 22:34:13
"8","AY0000000000000030","Ara chloropterus",NA,"Ada Sanchez",2020-10-28 22:34:13
"9","AY0000000000000030","Ara severus",NA,"Ada Sanchez",2020-10-28 22:34:13
"10","AY0000000000000030","Psittacus erithacus",NA,"Ada Sanchez",2020-10-28 22:34:13
"11","AY0000000000000030","Primolius maracana",NA,"Ada Sanchez",2020-10-28 22:34:14
"12","AY0000000000000030","Diopsittaca nobilis",NA,"Ada Sanchez",2020-10-28 22:34:14
"13","AY0000000000000030","Guaruba guarouba",NA,"Ada Sanchez",2020-10-28 22:34:14
"14","AY0000000000000030","Psittacara leucophthalmus",NA,"Ada Sanchez",2020-10-28 22:34:14
"15","AY0000000000000030","Aratinga auricapillus",NA,"Ada Sanchez",2020-10-28 22:34:14
"16","AY0000000000000030","Aratinga jandaya",NA,"Ada Sanchez",2020-10-28 22:34:14
"17","AY0000000000000030","Aratinga solstitialis",NA,"Ada Sanchez",2020-10-28 22:34:14
"18","AY0000000000000030","Eupsittula aurea",NA,"Ada Sanchez",2020-10-28 22:34:14
"19","AY0000000000000030","Eupsittula cactorum",NA,"Ada Sanchez",2020-10-28 22:34:14
"20","AY0000000000000030","Pyrrhura frontalis",NA,"Ada Sanchez",2020-10-28 22:34:14
"21","AY0000000000000030","Pyrrhura molinae",NA,"Ada Sanchez",2020-10-28 22:34:14
"22","AY0000000000000030","Pyrrhura griseipectus",NA,"Ada Sanchez",2020-10-28 22:34:14
"23","AY0000000000000030","Myiopsitta monachus",NA,"Ada Sanchez",2020-10-28 22:34:14
"24","AY0000000000000030","Forpus xanthopterygius",NA,"Ada Sanchez",2020-10-28 22:34:14
"25","AY0000000000000030","Brotogeris tirica",NA,"Ada Sanchez",2020-10-28 22:34:14
"26","AY0000000000000030","Brotogeris versicolurus",NA,"Ada Sanchez",2020-10-28 22:34:14
"27","AY0000000000000030","Brotogeris chiriri",NA,"Ada Sanchez",2020-10-28 22:34:14
"28","AY0000000000000030","Brotogeris chrysoptera",NA,"Ada Sanchez",2020-10-28 22:34:15
"29","AY0000000000000030","Brotogeris sanctithomae",NA,"Ada Sanchez",2020-10-28 22:34:15
"30","AY0000000000000030","Pionites melanocephalus",NA,"Ada Sanchez",2020-10-28 22:34:15
"31","AY0000000000000030","Pionites leucogaster",NA,"Ada Sanchez",2020-10-28 22:34:15
"32","AY0000000000000030","Pyrilia vulturina",NA,"Ada Sanchez",2020-10-28 22:34:15
"33","AY0000000000000030","Pionopsitta pileata",NA,"Ada Sanchez",2020-10-28 22:34:15
"34","AY0000000000000030","Graydidascalus brachyurus",NA,"Ada Sanchez",2020-10-28 22:34:15
"35","AY0000000000000030","Alipiopsitta xanthops",NA,"Ada Sanchez",2020-10-28 22:34:15
"36","AY0000000000000030","Pionus menstruus",NA,"Ada Sanchez",2020-10-28 22:34:15
"37","AY0000000000000030","Pionus maximiliani",NA,"Ada Sanchez",2020-10-28 22:34:15
"38","AY0000000000000030","Pionus fuscus",NA,"Ada Sanchez",2020-10-28 22:34:15
"39","AY0000000000000030","Amazona festiva",NA,"Ada Sanchez",2020-10-28 22:34:15
"40","AY0000000000000030","Amazona vinacea",NA,"Ada Sanchez",2020-10-28 22:34:15
"41","AY0000000000000030","Amazona pretrei",NA,"Ada Sanchez",2020-10-28 22:34:15
"42","AY0000000000000030","Amazona farinosa",NA,"Ada Sanchez",2020-10-28 22:34:15
"43","AY0000000000000030","Amazona brasiliensis",NA,"Ada Sanchez",2020-10-28 22:34:15
"44","AY0000000000000030","Amazona amazonica",NA,"Ada Sanchez",2020-10-28 22:34:15
"45","AY0000000000000030","Amazona rhodocorytha",NA,"Ada Sanchez",2020-10-28 22:34:15
"46","AY0000000000000030","Amazona ochrocephala",NA,"Ada Sanchez",2020-10-28 22:34:16
"47","AY0000000000000030","Amazona aestiva",NA,"Ada Sanchez",2020-10-28 22:34:16
"48","ISI000368727700008","Psittacus erithacus",NA,"Ada Sanchez",2020-10-28 22:34:16
"49","AY0000000000000084","Poicephalus meyeri",NA,"Ada Sanchez",2020-10-28 22:34:16
"50","AY0000000000000084","Agapornis fischeri",NA,"Ada Sanchez",2020-10-28 22:34:16
