internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22684488,Chalcopsitta atra,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Chalcopsitta,atra,,,,,"(Scopoli, 1786)",
22684494,Chalcopsitta scintillata,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Chalcopsitta,scintillata,,,,,"Temminck, 1835",<em>Chalcopsitta scintillata</em> (del Hoyo and Collar 2014) was previously listed as <em>C. sintillata</em>.
22684499,Chalcopsitta cardinalis,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Chalcopsitta,cardinalis,,,,,"(Gray, 1849)",
22684502,Eos histrio,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Eos,histrio,,,,,"(Müller, 1776)",
22684506,Eos squamata,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Eos,squamata,,,,,"(Boddaert, 1783)",
22684519,Eos cyanogenia,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Eos,cyanogenia,,,,,"Bonaparte, 1850",
22684528,Pseudeos fuscata,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Pseudeos,fuscata,,,,,"(Blyth, 1858)",
22684531,Trichoglossus ornatus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Trichoglossus,ornatus,,,,,"(Linnaeus, 1758)",
22684548,Trichoglossus euteles,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Trichoglossus,euteles,,,,,"(Temminck, 1835)",
22684559,Trichoglossus johnstoniae,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Trichoglossus,johnstoniae,,,,,"Hartert, 1903",
22684564,Trichoglossus rubiginosus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Trichoglossus,rubiginosus,,,,,"(Bonaparte, 1850)",
22684570,Psitteuteles versicolor,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Psitteuteles,versicolor,,,,,"Lear, 1831",
